parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 5.7543, 'kappa': 0}",0.024098236,0.07549684,3.1223156,0.6429685852835758,2.4098236113786697,1.6442649493837758,4.52509513799695,0.938375350140056,0.9384429176542438,0.938375350140056,0.9384056812870912
1,"{'c': 29.4873, 'kappa': 0}",0.25791723,0.8924214,23.945845,0.6442697509111172,25.791722536087036,19.436274642163784,34.70412268154863,0.5751633986928104,0.5413639673909607,0.5751633986928104,0.5470376549832412
2,"{'c': 362.6893, 'kappa': 0}",0.35173693,1.4777381,32.985996,0.6447998554260413,35.17369329929352,32.18403726361043,47.805791661359265,0.4173669467787115,0.33716600774541866,0.4173669467787115,0.3720944050414684
