parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 2.6329, 'kappa': 0}",0.12054034,0.46156505,94.94958,0.7095365374731232,15.169687192596005,19.165771132704027,33.19915291312691,0.7012138188608776,0.7978888218583692,0.7012138188608776,0.6312749346815261
1,"{'c': 6.5819, 'kappa': 0}",0.16385247,0.6167637,119.579834,0.7102030545135154,20.620404926775123,25.61015438989016,41.81113076376748,0.6265172735760971,0.7662675921631514,0.6265172735760971,0.4846032842833267
2,"{'c': 19.1194, 'kappa': 0}",0.19469711,0.7223931,136.59851,0.7106159841668197,24.50212273311471,29.99625038981096,47.7617170427229,0.5639589169000934,0.3750382856920104,0.5639589169000934,0.45049374973870143
