parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.1014, 'kappa': 0}",0.02185022,0.06618983,40.824135,0.39434659820282414,2.243563124829783,2.0458770721835284,25.35660548239761,0.7406931964056482,0.7969538690404157,0.7406931964056482,0.7599311136011674
1,"{'c': 0.387, 'kappa': 0}",0.14901361,0.47815803,133.93582,0.396395378690629,15.300597633335272,14.779498603658256,83.18995126285908,0.11553273427471117,0.2922954186428051,0.11553273427471117,0.1467933238670165
2,"{'c': 13.0739, 'kappa': 0}",0.25079852,0.7912785,148.54686,0.3966829268292683,25.751790910954774,24.45781217390689,92.26513027404405,0.0,0.0,0.0,0.0
