parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'theta': 0.0048, 'gamma': 0.1}",0.03222005,0.13188905,247.71373,0.19549730423620026,4.1049735949083885,2.6004512008141187,10.160530346940051,0.9576379974326059,0.952637795591489,0.9576379974326059,0.9534204129485914
1,"{'theta': 0.0294, 'gamma': 0.1}",0.054818805,0.49704754,239.62387,0.19638459563543004,6.984152521592654,9.800267179778201,9.828706761673887,0.8818998716302953,0.9132235634866661,0.8818998716302953,0.8874207933458408
2,"{'theta': 0.0722, 'gamma': 0.1}",0.094632775,1.0627801,212.31708,0.19813504492939665,12.056624138103075,20.954794926498767,8.708657819389613,0.6739409499358151,0.7080180652261193,0.6739409499358151,0.6615212532146921
