parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'theta': 0.0054, 'gamma': 0.1}",0.010420104,0.06556508,97.23436,0.6502612144406844,1.3113428023452605,2.7224880086723657,33.998027881542285,0.9906629318394025,0.9908004438888958,0.9906629318394025,0.9906387672230992
1,"{'theta': 0.0236, 'gamma': 0.1}",0.028383594,0.24303912,97.23063,0.651210466843692,3.572001132214341,10.091821518555001,33.99672341513467,0.9906629318394025,0.9908004438888958,0.9906629318394025,0.9906387672230992
2,"{'theta': 0.0506, 'gamma': 0.1}",0.05558269,0.5070787,97.15966,0.6540426784657671,6.994936408769733,21.055655105162334,33.97190920956485,0.9897292250233427,0.9898953699126709,0.9897292250233427,0.9896998650566601
