parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.2188, 'kappa': 0}",0.031617746,0.09636175,1671.1014,0.2166818998716303,4.028237345182433,1.8999608733181625,68.54394751557373,0.0,0.0,0.0,0.0
1,"{'c': 1.7038, 'kappa': 0}",0.035377443,0.13417597,1671.1001,0.2166844672657253,4.507238988727859,2.645542430514266,68.54389243873052,0.0,0.0,0.0,0.0
2,"{'c': 14.5477, 'kappa': 0}",0.035981078,0.1741156,1671.1014,0.2166798459563543,4.584144677105176,3.4330305114079316,68.54394751557373,0.0,0.0,0.0,0.0
