parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 2.6329, 'kappa': 0}",0.09509448,0.39252946,136.4762,0.7104168063340494,11.967391754413153,16.299175580756454,47.71894975142045,0.5527544351073763,0.4814266057300112,0.5527544351073763,0.4955262728692062
1,"{'c': 6.5819, 'kappa': 0}",0.22693571,0.81504273,218.45471,0.7129031286465332,28.55926662755099,33.84338261863866,76.38276640351836,0.24649859943977592,0.24905337340839762,0.24649859943977592,0.24776904641095784
2,"{'c': 19.1194, 'kappa': 0}",0.35177493,1.2351482,266.30157,0.7150319024592147,44.26995578408206,51.28760871394558,93.11243870875218,0.06162464985994398,0.08739533988906588,0.06162464985994398,0.07205745426747838
