parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.0984, 'kappa': 0}",0.12504752,0.17104818,13.815374,0.5537266374126443,13.872476915289552,13.188701958208489,76.75207985772028,0.26344872419957743,0.1653099555043684,0.26344872419957743,0.19757713866023824
1,"{'c': 1.1614, 'kappa': 0}",0.21089274,0.31914523,20.035105,0.5537331383065172,23.39594283052323,24.607753032005157,111.30613750881619,0.01218917601170161,0.00746933160728303,0.01218917601170161,0.009175320354657358
2,"{'c': 7.2549, 'kappa': 0}",0.24300823,0.43607166,20.360474,0.5537331383065172,26.95875946110273,33.62338748504747,113.11374240451389,0.0008126117341134406,0.00059181436862127,0.0008126117341134406,0.0006812749931168245
