parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.2188, 'kappa': 0}",0.043549847,0.26726303,1347.57,0.21637843388960207,5.548438552109609,5.269614721645266,55.27358270258665,0.3979460847240051,0.6067886195014794,0.3979460847240051,0.4677242776975604
1,"{'c': 1.7038, 'kappa': 0}",0.11254472,0.6708521,1944.4634,0.21680821566110398,14.33868369651994,13.227165380315155,79.75649626358695,0.0012836970474967907,0.0011485710424971286,0.0012836970474967907,0.0012123805448580802
2,"{'c': 14.5477, 'kappa': 0}",0.18829264,0.87324166,1944.7202,0.21679127086007702,23.989295122300724,17.217672074194333,79.76703096159763,0.0,0.0,0.0,0.0
