parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'theta': 0.0048, 'gamma': 0.1}",0.032158434,0.12996747,240.09628,0.19584749679075739,4.0971234120133655,2.562563497270287,9.848083796512896,0.25673940949935814,0.21857912999530094,0.25673940949935814,0.22582747378330054
1,"{'theta': 0.0294, 'gamma': 0.1}",0.054441407,0.44866246,204.41977,0.20049602053915275,6.936070388669674,8.84626035747071,8.384732128265355,0.16046213093709885,0.20006938790571038,0.16046213093709885,0.1590873353224633
2,"{'theta': 0.0722, 'gamma': 0.1}",0.0936817,0.93228936,178.0167,0.20278408215661103,11.935453195330092,18.38191326970961,7.301751153208957,0.11810012836970475,0.19617094535668536,0.11810012836970475,0.139008017370259
