parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'theta': 0.0054, 'gamma': 0.1}",0.010425147,0.06561478,97.3268,0.6626141264691794,1.3119774647790128,2.7245518411452276,34.03034877110194,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
1,"{'theta': 0.0236, 'gamma': 0.1}",0.028319273,0.24312451,97.25957,0.6632495523356758,3.563906519781346,10.095367560798135,34.006841699560205,0.9906629318394025,0.9908004438888958,0.9906629318394025,0.9906387672230992
2,"{'theta': 0.0506, 'gamma': 0.1}",0.054866873,0.49572405,93.29879,0.6635060545203166,6.904852551847901,20.584170705025716,32.6219545377718,0.8580765639589168,0.8885555770652162,0.8580765639589168,0.860317031519841
