parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.0984, 'kappa': 0}",0.12844957,0.17879003,17.257435,0.5537201365187713,14.249892796485907,13.78563903232466,95.87463802761502,0.16317243620997887,0.11967531444111998,0.16317243620997887,0.13308914928828253
1,"{'c': 1.1614, 'kappa': 0}",0.20089276,0.3019834,20.528522,0.5537298878595807,22.286569127173287,23.284485663500508,114.04734717475043,0.001300178774581505,0.001326917857081927,0.001300178774581505,0.0012834134834057407
2,"{'c': 7.2549, 'kappa': 0}",0.2165247,0.39318568,20.53161,0.5537331383065172,24.02074011917526,30.31665525982326,114.06450271606445,0.0009751340809361287,0.0011595596173755722,0.0009751340809361287,0.0010293027040887402
