parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'theta': 0.0178, 'gamma': 0.1}",0.023373334,0.09638034,25.851091,0.3522105263157895,2.3999551315986767,2.979042474935415,16.056578499930247,0.9589216944801027,0.9588398955142228,0.9589216944801027,0.957294471804162
1,"{'theta': 0.0652, 'gamma': 0.1}",0.06985449,0.33207047,25.622593,0.353596919127086,7.172602963992056,10.264044037971534,15.914653991320119,0.9525032092426188,0.9552034581972847,0.9525032092426188,0.9533492662681508
2,"{'theta': 0.1576, 'gamma': 0.1}",0.16068101,0.780615,25.12452,0.3556919127086008,16.49859695399784,24.128211261759986,15.605291520586665,0.9127086007702182,0.932421107332941,0.9127086007702182,0.9178149459786458
