parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,{'eps': 0.0001},0.00010001658,0.00044548576,20.038809,0.41083827639849746,0.010001657938119024,0.02086699457689954,200.38808822631836,0.6307245753601376,0.6114142441701333,0.6307245753601376,0.5555488044620962
1,{'eps': 0.001},0.0010000013,0.0044415486,20.038809,0.4200172006020211,0.10000013280659914,0.20804654140671372,200.38808822631836,0.6064287250053751,0.5527750774981942,0.6064287250053751,0.521972022934113
2,{'eps': 0.0022},0.0022000074,0.009710803,20.038809,0.4231284859675971,0.2200007438659668,0.4548636287048355,200.38808822631836,0.5860030101053537,0.5081974824287505,0.5860030101053537,0.5018470310589738
3,{'eps': 0.0094},0.00940001,0.041389834,20.038809,0.4238588791784183,0.9400010108947754,1.9387408780318383,200.38808822631836,0.4876370672973554,0.3868148992960471,0.4876370672973554,0.42334123905238497
4,{'eps': 0.01},0.0100000035,0.044028874,20.038809,0.4238715266799044,1.000000350177288,2.0623561452568557,200.38808822631836,0.4838744356052462,0.38408341820121217,0.4838744356052462,0.42068925713605243
5,{'eps': 0.0129},0.0129,0.056784257,20.038809,0.4244944161280939,1.290000043809414,2.6598309256567623,200.38808822631836,0.47634917222102774,0.37814025223590236,0.47634917222102774,0.4150584751263044
6,{'eps': 0.0147},0.014699999,0.06469467,20.038809,0.42450706362957996,1.4699999243021011,3.0303626340061722,200.38808822631836,0.46624381853364866,0.37085516276304614,0.46624381853364866,0.40771451167913175
7,{'eps': 0.0189},0.018900007,0.08315172,20.038809,0.4249149455525061,1.8900007009506226,3.8949090497406567,200.38808822631836,0.44366802838099334,0.353018784174238,0.44366802838099334,0.38999175697583766
8,{'eps': 0.0196},0.019600004,0.0862266,20.038809,0.4250161255643948,1.9600003957748413,4.038939336154683,200.38808822631836,0.44119544184046444,0.35187564606963995,0.44119544184046444,0.38843567868091455
9,{'eps': 0.0297},0.029700007,0.13027562,20.038809,0.43425512539997724,2.9700007289648056,6.102239331855094,200.38808822631836,0.38443345517093097,0.3216544492289487,0.38443345517093097,0.34929857669804565
10,{'eps': 0.03},0.03,0.13157323,20.038809,0.43433733415963677,2.9999999329447746,6.16302057827792,200.38808822631836,0.38292840249408727,0.3209616575949247,0.38292840249408727,0.34829000547909544
11,{'eps': 0.0438},0.043800004,0.19085732,20.038809,0.4466907812361668,4.3800003826618195,8.939946193719361,200.38808822631836,0.3988389593635777,0.33017282042026574,0.3988389593635777,0.3598994240958617
12,{'eps': 0.0497},0.04970002,0.2158869,20.038809,0.4506304779490812,4.970002174377441,10.112356766463655,200.38808822631836,0.3897011395398839,0.3294513806260321,0.3897011395398839,0.35572910114102335
13,{'eps': 0.05},0.050000012,0.21715577,20.038809,0.45067474420428244,5.0000011920928955,10.171791599497228,200.38808822631836,0.3895936357772522,0.32939976834010926,0.3895936357772522,0.3556564048971429
14,{'eps': 0.075},0.07500002,0.3218722,20.038809,0.4639925632691262,7.500001788139343,15.076813267748786,200.38808822631836,0.38626101913566974,0.3286746396122068,0.38626101913566974,0.3538788483715302
15,{'eps': 0.0882},0.0882,0.37694544,20.038809,0.46456170083599985,8.820000290870667,17.65649804647911,200.38808822631836,0.41646957643517524,0.3472103814887433,0.41646957643517524,0.3762709925162354
16,{'eps': 0.0998},0.0998,0.4254583,20.038809,0.464817812741093,9.97999981045723,19.928889271074546,200.38808822631836,0.5385938507847775,0.43910665066906757,0.5385938507847775,0.46382781645061344
17,{'eps': 0.1},0.100000024,0.42629555,20.038809,0.464817812741093,10.000002384185791,19.968106265729094,200.38808822631836,0.5389163620726726,0.4400052234207836,0.5389163620726726,0.46437782387623067
18,{'eps': 0.1015},0.10150002,0.43257505,20.038809,0.4648620789962943,10.15000194311142,20.262244195415747,200.38808822631836,0.5390238658353043,0.4382312742894766,0.5390238658353043,0.4633882083187007
19,{'eps': 0.155},0.155,0.65631646,20.038809,0.46942466515739817,15.50000011920929,30.74251382987812,200.38808822631836,0.6438400344012041,0.6271588160244564,0.6438400344012041,0.6210524104438309
20,{'eps': 0.1999},0.19990006,0.84370756,20.038809,0.4714514272705427,19.99000608921051,39.520098901706376,200.38808822631836,0.6493227262954203,0.6336874667386959,0.6493227262954203,0.6261493585039948
21,{'eps': 0.2},0.20000003,0.8441248,20.038809,0.4714545891459142,20.000003278255463,39.53964248641302,200.38808822631836,0.6493227262954203,0.6336874667386959,0.6493227262954203,0.6261493585039948
22,{'eps': 0.5},0.5,2.0661538,20.038809,0.4958231626342216,50.0,96.78069138502035,200.38808822631836,0.5971834014190497,0.5892354379590585,0.5971834014190497,0.5922077726853496
23,{'eps': 1},1.0,4.0194507,20.038809,1.0,100.0,188.27505529438503,200.38808822631836,0.5033326166415825,0.4672126834130375,0.5033326166415825,0.4789383241907668
